!Agilent Technologies,E4990A,MY54201856,A.02.20
!Date: Wed Feb 25 18:26:20 2026

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, |Z|(Ohm)-mem, theta-z(deg)-data, theta-z(deg)-mem
+3.27614535000e+004, +1.35391896802e+005, +1.35514431927e+005, -7.04748532034e+001, -7.07577641678e+001
+3.27614722500e+004, +1.34102945080e+005, +1.34213445399e+005, -7.02496926243e+001, -7.05201829506e+001
+3.27614910000e+004, +1.32863912583e+005, +1.32912055357e+005, -6.99800430556e+001, -7.02773862566e+001
+3.27615097500e+004, +1.31551896186e+005, +1.31610339857e+005, -6.97140758916e+001, -7.00292109428e+001
+3.27615285000e+004, +1.30221134925e+005, +1.30308380684e+005, -6.94478302148e+001, -6.97754874366e+001
+3.27615472500e+004, +1.28928115138e+005, +1.29006263542e+005, -6.92008787993e+001, -6.95160394427e+001
+3.27615660000e+004, +1.27701134921e+005, +1.27704078263e+005, -6.89240155476e+001, -6.92506836364e+001
+3.27615847500e+004, +1.26384686789e+005, +1.26401919023e+005, -6.86248239601e+001, -6.89792293417e+001
+3.27616035000e+004, +1.25066383689e+005, +1.25099884574e+005, -6.83389166913e+001, -6.87014781951e+001
+3.27616222500e+004, +1.23777562669e+005, +1.23798078488e+005, -6.80704105969e+001, -6.84172237921e+001
+3.27616410000e+004, +1.22537083690e+005, +1.22496609418e+005, -6.77686656578e+001, -6.81262513183e+001
+3.27616597500e+004, +1.21231745080e+005, +1.21195591372e+005, -6.74425613200e+001, -6.78283371627e+001
+3.27616785000e+004, +1.19924444259e+005, +1.19895144005e+005, -6.71248972845e+001, -6.75232485144e+001
+3.27616972500e+004, +1.18641495413e+005, +1.18595392931e+005, -6.68206820878e+001, -6.72107429398e+001
+3.27617160000e+004, +1.17392525807e+005, +1.17296470048e+005, -6.64903253362e+001, -6.68905679418e+001
+3.27617347500e+004, +1.16096772898e+005, +1.15998513891e+005, -6.61426456056e+001, -6.65624605006e+001
+3.27617535000e+004, +1.14791110570e+005, +1.14701670001e+005, -6.57864293151e+001, -6.62261465926e+001
+3.27617722500e+004, +1.13513284489e+005, +1.13406091315e+005, -6.54537473992e+001, -6.58813406926e+001
+3.27617910000e+004, +1.12260529495e+005, +1.12111938588e+005, -6.50925653574e+001, -6.55277452537e+001
+3.27618097500e+004, +1.10988599931e+005, +1.10819380835e+005, -6.47057024156e+001, -6.51650501679e+001
+3.27618285000e+004, +1.09682559767e+005, +1.09528595800e+005, -6.43095656498e+001, -6.47929322071e+001
+3.27618472500e+004, +1.08394244249e+005, +1.08239770456e+005, -6.39389043092e+001, -6.44110544438e+001
+3.27618660000e+004, +1.07180675935e+005, +1.06953101538e+005, -6.35495261191e+001, -6.40190656533e+001
+3.27618847500e+004, +1.05898971627e+005, +1.05668796102e+005, -6.31186379732e+001, -6.36165996976e+001
+3.27619035000e+004, +1.04622528870e+005, +1.04387072128e+005, -6.26796152144e+001, -6.32032748921e+001
+3.27619222500e+004, +1.03358385431e+005, +1.03108159149e+005, -6.22696049929e+001, -6.27786933567e+001
+3.27619410000e+004, +1.02134700570e+005, +1.01832298929e+005, -6.18274854359e+001, -6.23424403538e+001
+3.27619597500e+004, +1.00882938538e+005, +1.00559746173e+005, -6.13559711703e+001, -6.18940836161e+001
+3.27619785000e+004, +9.96236548324e+004, +9.92907692868e+004, -6.08733647548e+001, -6.14331726659e+001
+3.27619972500e+004, +9.83744861006e+004, +9.80256511779e+004, -6.04106300652e+001, -6.09592381316e+001
+3.27620160000e+004, +9.71577553073e+004, +9.67646901040e+004, -5.99239049819e+001, -6.04717910655e+001
+3.27620347500e+004, +9.59259394713e+004, +9.55082005741e+004, -5.94015273321e+001, -5.99703222700e+001
+3.27620535000e+004, +9.46884792455e+004, +9.42565142962e+004, -5.88628922914e+001, -5.94543016373e+001
+3.27620722500e+004, +9.34587444364e+004, +9.30099811844e+004, -5.83435890052e+001, -5.89231775133e+001
+3.27620910000e+004, +9.22677976797e+004, +9.17689704160e+004, -5.77983905655e+001, -5.83763760944e+001
+3.27621097500e+004, +9.10653857403e+004, +9.05338715489e+004, -5.72133133586e+001, -5.78133008697e+001
+3.27621285000e+004, +8.98544019824e+004, +8.93050956953e+004, -5.66127844578e+001, -5.72333321222e+001
+3.27621472500e+004, +8.86539337646e+004, +8.80830767568e+004, -5.60271147422e+001, -5.66358265061e+001
+3.27621660000e+004, +8.74844277371e+004, +8.68682727180e+004, -5.54203141233e+001, -5.60201167186e+001
+3.27621847500e+004, +8.63063288290e+004, +8.56611669969e+004, -5.47681130295e+001, -5.53855112856e+001
+3.27622035000e+004, +8.51369653894e+004, +8.44622698586e+004, -5.40923324030e+001, -5.47312944924e+001
+3.27622222500e+004, +8.39619928710e+004, +8.32721198800e+004, -5.34344074357e+001, -5.40567264802e+001
+3.27622410000e+004, +8.28266203251e+004, +8.20912854709e+004, -5.27519402145e+001, -5.33610435480e+001
+3.27622597500e+004, +8.17025780695e+004, +8.09203664430e+004, -5.20227736712e+001, -5.26434586928e+001
+3.27622785000e+004, +8.05603397080e+004, +7.97599956183e+004, -5.12734364887e+001, -5.19031624301e+001
+3.27622972500e+004, +7.94396720534e+004, +7.86108404739e+004, -5.05279531724e+001, -5.11393239426e+001
+3.27623160000e+004, +7.83456881044e+004, +7.74736048103e+004, -4.97646882039e+001, -5.03510926096e+001
+3.27623347500e+004, +7.72610126688e+004, +7.63490304250e+004, -4.89514802833e+001, -4.95375999701e+001
+3.27623535000e+004, +7.61763608174e+004, +7.52378987840e+004, -4.81069125685e+001, -4.86979621878e+001
+3.27623722500e+004, +7.51148119536e+004, +7.41410326625e+004, -4.72607081157e+001, -4.78312830813e+001
+3.27623910000e+004, +7.40739758637e+004, +7.30592977354e+004, -4.63988918452e+001, -4.69366577953e+001
+3.27624097500e+004, +7.30438124085e+004, +7.19936040879e+004, -4.54880362489e+001, -4.60131771888e+001
+3.27624285000e+004, +7.20220477736e+004, +7.09449076101e+004, -4.45354987541e+001, -4.50599330182e+001
+3.27624472500e+004, +7.10164023341e+004, +6.99142112406e+004, -4.35944268454e+001, -4.40760240028e+001
+3.27624660000e+004, +7.00430148139e+004, +6.89025660071e+004, -4.26175695279e+001, -4.30605628455e+001
+3.27624847500e+004, +6.90829423864e+004, +6.79110718191e+004, -4.15965932007e+001, -4.20126842946e+001
+3.27625035000e+004, +6.81350033226e+004, +6.69408779494e+004, -4.05352402607e+001, -4.09315543114e+001
+3.27625222500e+004, +6.72048766149e+004, +6.59931831427e+004, -3.94696368318e+001, -3.98163804075e+001
+3.27625410000e+004, +6.63099656326e+004, +6.50692352800e+004, -3.83748166070e+001, -3.86664231936e+001
+3.27625597500e+004, +6.54347445267e+004, +6.41703305164e+004, -3.72315438927e+001, -3.74810091536e+001
+3.27625785000e+004, +6.45818461355e+004, +6.32978118232e+004, -3.60467892925e+001, -3.62595446487e+001
+3.27625972500e+004, +6.37426347972e+004, +6.24530668331e+004, -3.48538184212e+001, -3.50015310825e+001
+3.27626160000e+004, +6.29384604855e+004, +6.16375249182e+004, -3.36328036182e+001, -3.37065811521e+001
+3.27626347500e+004, +6.21654744358e+004, +6.08526534045e+004, -3.23583306753e+001, -3.23744360203e+001
+3.27626535000e+004, +6.14153025486e+004, +6.00999528499e+004, -3.10447859540e+001, -3.10049832016e+001
+3.27626722500e+004, +6.06885746582e+004, +5.93809513123e+004, -2.97196087121e+001, -2.95982748753e+001
+3.27626910000e+004, +5.99990180785e+004, +5.86971975523e+004, -2.83657881797e+001, -2.81545462645e+001
+3.27627097500e+004, +5.93397745732e+004, +5.80502531310e+004, -2.69626697532e+001, -2.66742336378e+001
+3.27627285000e+004, +5.87118981672e+004, +5.74416833945e+004, -2.55121943057e+001, -2.51579914243e+001
+3.27627472500e+004, +5.81104103815e+004, +5.68730473588e+004, -2.40541492330e+001, -2.36067078449e+001
+3.27627660000e+004, +5.75532694017e+004, +5.63458865528e+004, -2.25665755704e+001, -2.20215184229e+001
+3.27627847500e+004, +5.70317999031e+004, +5.58617129173e+004, -2.10297810454e+001, -2.04038166930e+001
+3.27628035000e+004, +5.65438381994e+004, +5.54219958989e+004, -1.94476730166e+001, -1.87552614160e+001
+3.27628222500e+004, +5.60949160447e+004, +5.50281489300e+004, -1.78647679254e+001, -1.70777796381e+001
+3.27628410000e+004, +5.56889115140e+004, +5.46815155287e+004, -1.62537159612e+001, -1.53735649873e+001
+3.27628597500e+004, +5.53192565822e+004, +5.43833552974e+004, -1.45972517797e+001, -1.36450707256e+001
+3.27628785000e+004, +5.49964137112e+004, +5.41348301335e+004, -1.29068037984e+001, -1.18949972008e+001
+3.27628972500e+004, +5.47155512026e+004, +5.39369909920e+004, -1.12159943718e+001, -1.01262735519e+001
+3.27629160000e+004, +5.44787352858e+004, +5.37907655536e+004, -9.50936333771e+000, -8.34203374115e+000
+3.27629347500e+004, +5.42933090359e+004, +5.36969471477e+004, -7.75887877735e+000, -6.54558721408e+000
+3.27629535000e+004, +5.41509312841e+004, +5.36561852620e+004, -5.98067682901e+000, -4.74038476084e+000
+3.27629722500e+004, +5.40578829490e+004, +5.36689779338e+004, -4.21556738968e+000, -2.92998036996e+000
+3.27629910000e+004, +5.40146552069e+004, +5.37356662623e+004, -2.43706082599e+000, -1.11799008507e+000
+3.27630097500e+004, +5.40268885241e+004, +5.38564312190e+004, -6.32847962131e-001, +6.91950976561e-001
+3.27630285000e+004, +5.40898539195e+004, +5.40312928507e+004, +1.18824964841e+000, +2.49623217239e+000
+3.27630472500e+004, +5.42057510381e+004, +5.42601118925e+004, +2.98883243970e+000, +4.29131015046e+000
+3.27630660000e+004, +5.43710328729e+004, +5.45425937204e+004, +4.78304059019e+000, +6.07374968861e+000
+3.27630847500e+004, +5.45978030002e+004, +5.48782944958e+004, +6.59592670808e+000, +7.84026138671e+000
+3.27631035000e+004, +5.48765775762e+004, +5.52666292862e+004, +8.40743242460e+000, +9.58773525171e+000
+3.27631222500e+004, +5.52148921175e+004, +5.57068818879e+004, +1.01857321374e+001, +1.13132693914e+001
+3.27631410000e+004, +5.56066423202e+004, +5.61982160375e+004, +1.19410213031e+001, +1.30141932948e+001
+3.27631597500e+004, +5.60542524334e+004, +5.67396876706e+004, +1.37001561618e+001, +1.46880854045e+001
+3.27631785000e+004, +5.65591354737e+004, +5.73302578900e+004, +1.54487918440e+001, +1.63327849617e+001
+3.27631972500e+004, +5.71203586631e+004, +5.79688062979e+004, +1.71483502191e+001, +1.79463982778e+001
+3.27632160000e+004, +5.77342367637e+004, +5.86541443853e+004, +1.88129944284e+001, +1.95272998163e+001
+3.27632347500e+004, +5.84063040471e+004, +5.93850286915e+004, +2.04690809647e+001, +2.10741285837e+001
+3.27632535000e+004, +5.91340499999e+004, +6.01601734915e+004, +2.20988580227e+001, +2.25857804418e+001
+3.27632722500e+004, +5.99137322251e+004, +6.09782628134e+004, +2.36706504836e+001, +2.40613970137e+001
+3.27632910000e+004, +6.07364727875e+004, +6.18379616308e+004, +2.51993714131e+001, +2.55003518732e+001
+3.27633097500e+004, +6.16150531549e+004, +6.27379261213e+004, +2.67040980341e+001, +2.69022346946e+001
+3.27633285000e+004, +6.25447535238e+004, +6.36768129175e+004, +2.81823780031e+001, +2.82668339974e+001
+3.27633472500e+004, +6.35188729202e+004, +6.46532873243e+004, +2.95958249330e+001, +2.95941190703e+001
+3.27633660000e+004, +6.45315222531e+004, +6.56660304954e+004, +3.09553916155e+001, +3.08842215794e+001
+3.27633847500e+004, +6.55845226800e+004, +6.67137455942e+004, +3.23037342444e+001, +3.21374172875e+001
+3.27634035000e+004, +6.66862932320e+004, +6.77951629875e+004, +3.36130822339e+001, +3.33541082457e+001
+3.27634222500e+004, +6.78320315789e+004, +6.89090445262e+004, +3.48509436855e+001, +3.45348057237e+001
+3.27634410000e+004, +6.89951249947e+004, +7.00541869842e+004, +3.60478292416e+001, +3.56801140885e+001
+3.27634597500e+004, +7.02017714958e+004, +7.12294247333e+004, +3.72262817339e+001, +3.67907157759e+001
+3.27634785000e+004, +7.14461233159e+004, +7.24336317301e+004, +3.83729873545e+001, +3.78673574421e+001
+3.27634972500e+004, +7.27278923124e+004, +7.36657228956e+004, +3.94558295456e+001, +3.89108373383e+001
+3.27635160000e+004, +7.40252573107e+004, +7.49246549625e+004, +4.04908180663e+001, +3.99219939163e+001
+3.27635347500e+004, +7.53408825853e+004, +7.62094268611e+004, +4.15216836694e+001, +4.09016956379e+001
+3.27635535000e+004, +7.67040678301e+004, +7.75190797189e+004, +4.25187811848e+001, +4.18508319498e+001
+3.27635722500e+004, +7.80977659413e+004, +7.88526965261e+004, +4.34509555712e+001, +4.27703053546e+001
+3.27635910000e+004, +7.94887737662e+004, +8.02094015312e+004, +4.43575441919e+001, +4.36610245116e+001
+3.27636097500e+004, +8.09174832135e+004, +8.15883594171e+004, +4.52491704453e+001, +4.45238982886e+001
+3.27636285000e+004, +8.23678964573e+004, +8.29887742951e+004, +4.61170209989e+001, +4.53598306793e+001
+3.27636472500e+004, +8.38449731737e+004, +8.44098885670e+004, +4.69333913617e+001, +4.61697165094e+001
+3.27636660000e+004, +8.53227314560e+004, +8.58509816807e+004, +4.77163683882e+001, +4.69544378496e+001
+3.27636847500e+004, +8.68247682491e+004, +8.73113688155e+004, +4.84954579552e+001, +4.77148610596e+001
+3.27637035000e+004, +8.83617078145e+004, +8.87903995130e+004, +4.92590156682e+001, +4.84518343885e+001
+3.27637222500e+004, +8.99162639183e+004, +9.02874562863e+004, +4.99634756252e+001, +4.91661860689e+001
+3.27637410000e+004, +9.14642221889e+004, +9.18019532145e+004, +5.06429937145e+001, +4.98587228383e+001
+3.27637597500e+004, +9.30295440678e+004, +9.33333345420e+004, +5.13318422238e+001, +5.05302288336e+001
+3.27637785000e+004, +9.46500795381e+004, +9.48810732955e+004, +5.19971813147e+001, +5.11814648077e+001
+3.27637972500e+004, +9.62605166567e+004, +9.64446699253e+004, +5.26121909473e+001, +5.18131676216e+001
+3.27638160000e+004, +9.78637412375e+004, +9.80236509784e+004, +5.32132002501e+001, +5.24260499701e+001
+3.27638347500e+004, +9.95005717745e+004, +9.96175678096e+004, +5.38180353601e+001, +5.30208003061e+001
+3.27638535000e+004, +1.01171601080e+005, +1.01225995337e+005, +5.44071464968e+001, +5.35980829318e+001
+3.27638722500e+004, +1.02843943126e+005, +1.02848530843e+005, +5.49429788069e+001, +5.41585382264e+001
+3.27638910000e+004, +1.04491553710e+005, +1.04484792816e+005, +5.54791941571e+001, +5.47027829874e+001
+3.27639097500e+004, +1.06177717688e+005, +1.06134419854e+005, +5.60180997539e+001, +5.52314108653e+001
+3.27639285000e+004, +1.07904061746e+005, +1.07797069605e+005, +5.65401816854e+001, +5.57449928689e+001
+3.27639472500e+004, +1.09622279997e+005, +1.09472417760e+005, +5.70038458126e+001, +5.62440779303e+001
+3.27639660000e+004, +1.11326313301e+005, +1.11160157098e+005, +5.74750177926e+001, +5.67291935125e+001
+3.27639847500e+004, +1.13041850423e+005, +1.12859996574e+005, +5.79628189083e+001, +5.72008462492e+001
+3.27640035000e+004, +1.14825875893e+005, +1.14571660455e+005, +5.84284734728e+001, +5.76595226066e+001
+3.27640222500e+004, +1.16598159307e+005, +1.16294887502e+005, +5.88443653773e+001, +5.81056895599e+001
+3.27640410000e+004, +1.18318878191e+005, +1.18029430189e+005, +5.92636591024e+001, +5.85397952743e+001
+3.27640597500e+004, +1.20112018627e+005, +1.19775053977e+005, +5.97001326858e+001, +5.89622697904e+001
+3.27640785000e+004, +1.21926315100e+005, +1.21531536610e+005, +6.01231872660e+001, +5.93735257018e+001
+3.27640972500e+004, +1.23722773947e+005, +1.23298667468e+005, +6.04859414346e+001, +5.97739588279e+001
+3.27641160000e+004, +1.25480595950e+005, +1.25076246937e+005, +6.08617520933e+001, +6.01639488739e+001
+3.27641347500e+004, +1.27326521974e+005, +1.26864085831e+005, +6.12528696521e+001, +6.05438600773e+001
+3.27641535000e+004, +1.29178827479e+005, +1.28662004840e+005, +6.16279692719e+001, +6.09140418403e+001
+3.27641722500e+004, +1.31010002521e+005, +1.30469834001e+005, +6.19565582494e+001, +6.12748293423e+001
+3.27641910000e+004, +1.32810234988e+005, +1.32287412215e+005, +6.22977262597e+001, +6.16265441367e+001
+3.27642097500e+004, +1.34698379220e+005, +1.34114586776e+005, +6.26582308011e+001, +6.19694947269e+001
+3.27642285000e+004, +1.36585544497e+005, +1.35951212938e+005, +6.29906753055e+001, +6.23039771232e+001
+3.27642472500e+004, +1.38461739393e+005, +1.37797153502e+005, +6.32864212494e+001, +6.26302753798e+001
+3.27642660000e+004, +1.40273701810e+005, +1.39652278423e+005, +6.35972874084e+001, +6.29486621113e+001
+3.27642847500e+004, +1.42211254878e+005, +1.41516464451e+005, +6.39208046754e+001, +6.32593989906e+001
+3.27643035000e+004, +1.44144177312e+005, +1.43389594776e+005, +6.42295008594e+001, +6.35627372247e+001
+3.27643222500e+004, +1.46039141917e+005, +1.45271558708e+005, +6.44869788617e+001, +6.38589180129e+001
+3.27643410000e+004, +1.47883779873e+005, +1.47162251366e+005, +6.47721215772e+001, +6.41481729856e+001
+3.27643597500e+004, +1.49863380703e+005, +1.49061573390e+005, +6.50724786146e+001, +6.44307246234e+001
+3.27643785000e+004, +1.51818895741e+005, +1.50969430665e+005, +6.53452221882e+001, +6.47067866598e+001
+3.27643972500e+004, +1.53720648473e+005, +1.52885734065e+005, +6.55777584659e+001, +6.49765644648e+001
+3.27644160000e+004, +1.55627955456e+005, +1.54810399207e+005, +6.58470618191e+001, +6.52402554119e+001
+3.27644347500e+004, +1.57628156426e+005, +1.56743346222e+005, +6.61204064624e+001, +6.54980492294e+001
+3.27644535000e+004, +1.59636786861e+005, +1.58684499537e+005, +6.63667192567e+001, +6.57501283352e+001
+3.27644722500e+004, +1.61585540034e+005, +1.60633787669e+005, +6.65902427240e+001, +6.59966681562e+001
+3.27644910000e+004, +1.63477247940e+005, +1.62591143035e+005, +6.68242629191e+001, +6.62378374337e+001
+3.27645097500e+004, +1.65541978769e+005, +1.64556501762e+005, +6.70755305678e+001, +6.64737985146e+001
+3.27645285000e+004, +1.67554365861e+005, +1.66529803521e+005, +6.72973977808e+001, +6.67047076289e+001
+3.27645472500e+004, +1.69552930976e+005, +1.68510991359e+005, +6.75025072462e+001, +6.69307151548e+001
+3.27645660000e+004, +1.71478154617e+005, +1.70500011545e+005, +6.77289298698e+001, +6.71519658710e+001
+3.27645847500e+004, +1.73560803865e+005, +1.72496813425e+005, +6.79531986883e+001, +6.73685991978e+001
+3.27646035000e+004, +1.75592320275e+005, +1.74501349284e+005, +6.81609063410e+001, +6.75807494267e+001
+3.27646222500e+004, +1.77574119984e+005, +1.76513574211e+005, +6.83328542037e+001, +6.77885459393e+001
+3.27646410000e+004, +1.79563906188e+005, +1.78533445980e+005, +6.85541567000e+001, +6.79921134161e+001
+3.27646597500e+004, +1.81671875608e+005, +1.80560924929e+005, +6.87640180415e+001, +6.81915720358e+001
+3.27646785000e+004, +1.83809142839e+005, +1.82595973851e+005, +6.89432733474e+001, +6.83870376649e+001
+3.27646972500e+004, +1.85798415029e+005, +1.84638557888e+005, +6.91221028577e+001, +6.85786220387e+001
+3.27647160000e+004, +1.87811970199e+005, +1.86688644431e+005, +6.93109922282e+001, +6.87664329340e+001
+3.27647347500e+004, +1.89959203569e+005, +1.88746203025e+005, +6.95119947051e+001, +6.89505743337e+001
+3.27647535000e+004, +1.92077801560e+005, +1.90811205281e+005, +6.96944147629e+001, +6.91311465839e+001
+3.27647722500e+004, +1.94096976800e+005, +1.92883624787e+005, +6.98375636771e+001, +6.93082465437e+001
+3.27647910000e+004, +1.96171125728e+005, +1.94963437032e+005, +7.00212107150e+001, +6.94819677278e+001
+3.27648097500e+004, +1.98308794373e+005, +1.97050619327e+005, +7.01994562979e+001, +6.96524004433e+001
+3.27648285000e+004, +2.00477253293e+005, +1.99145150734e+005, +7.03698037032e+001, +6.98196319195e+001
+3.27648472500e+004, +2.02521904796e+005, +2.01247011990e+005, +7.05087471470e+001, +6.99837464322e+001
+3.27648660000e+004, +2.04594620983e+005, +2.03356185456e+005, +7.06847700722e+001, +7.01448254223e+001
+3.27648847500e+004, +2.06812650750e+005, +2.05472655035e+005, +7.08347957834e+001, +7.03029476088e+001
+3.27649035000e+004, +2.08958582186e+005, +2.07596406133e+005, +7.09861672746e+001, +7.04581890972e+001
+3.27649222500e+004, +2.11104100587e+005, +2.09727425588e+005, +7.11207756475e+001, +7.06106234822e+001
+3.27649410000e+004, +2.13166910353e+005, +2.11865701621e+005, +7.12823143142e+001, +7.07603219470e+001
+3.27649597500e+004, +2.15415829541e+005, +2.14011223789e+005, +7.14310211053e+001, +7.09073533570e+001
+3.27649785000e+004, +2.17579502384e+005, +2.16163982930e+005, +7.15722674798e+001, +7.10517843496e+001
+3.27649972500e+004, +2.19751776623e+005, +2.18323971121e+005, +7.17007976502e+001, +7.11936794213e+001
+3.27650160000e+004, +2.21862504042e+005, +2.20491181636e+005, +7.18583413328e+001, +7.13331010086e+001
+3.27650347500e+004, +2.24121775896e+005, +2.22665608898e+005, +7.20056330683e+001, +7.14701095679e+001
+3.27650535000e+004, +2.26371277041e+005, +2.24847248444e+005, +7.21228795682e+001, +7.16047636497e+001
+3.27650722500e+004, +2.28520003960e+005, +2.27036096887e+005, +7.22407545232e+001, +7.17371199712e+001
+3.27650910000e+004, +2.30687106201e+005, +2.29232151877e+005, +7.23883453712e+001, +7.18672334849e+001
+3.27651097500e+004, +2.32957870699e+005, +2.31435412069e+005, +7.25073279313e+001, +7.19951574444e+001
+3.27651285000e+004, +2.35163322355e+005, +2.33645877091e+005, +7.26509073261e+001, +7.21209434679e+001
+3.27651472500e+004, +2.37353237832e+005, +2.35863547509e+005, +7.27399359511e+001, +7.22446415979e+001
+3.27651660000e+004, +2.39579075042e+005, +2.38088424801e+005, +7.28826050935e+001, +7.23663003596e+001
+3.27651847500e+004, +2.41906345892e+005, +2.40320511328e+005, +7.29965798820e+001, +7.24859668159e+001
+3.27652035000e+004, +2.44178182256e+005, +2.42559810304e+005, +7.31239975385e+001, +7.26036866205e+001
+3.27652222500e+004, +2.46326227894e+005, +2.44806325774e+005, +7.32289831795e+001, +7.27195040691e+001
+3.27652410000e+004, +2.48548021099e+005, +2.47060062587e+005, +7.33420857302e+001, +7.28334621475e+001
+3.27652597500e+004, +2.51009114249e+005, +2.49321026372e+005, +7.34529245925e+001, +7.29456025786e+001
+3.27652785000e+004, +2.53270032845e+005, +2.51589223517e+005, +7.35755545746e+001, +7.30559658673e+001
+3.27652972500e+004, +2.55485250796e+005, +2.53864661149e+005, +7.36599733590e+001, +7.31645913433e+001
+3.27653160000e+004, +2.57791877186e+005, +2.56147347108e+005, +7.37901091141e+001, +7.32715172022e+001
+3.27653347500e+004, +2.60095756465e+005, +2.58437289934e+005, +7.38801215648e+001, +7.33767805452e+001
+3.27653535000e+004, +2.62425735475e+005, +2.60734498842e+005, +7.39971750075e+001, +7.34804174166e+001
+3.27653722500e+004, +2.64746235868e+005, +2.63038983711e+005, +7.40757531231e+001, +7.35824628410e+001
+3.27653910000e+004, +2.66974166671e+005, +2.65350755060e+005, +7.42037107928e+001, +7.36829508573e+001
+3.27654097500e+004, +2.69415139337e+005, +2.67669824039e+005, +7.42976904043e+001, +7.37819145530e+001
+3.27654285000e+004, +2.71697578253e+005, +2.69996202405e+005, +7.44010475782e+001, +7.38793860959e+001
+3.27654472500e+004, +2.73969865837e+005, +2.72329902512e+005, +7.44734115074e+001, +7.39753967654e+001
+3.27654660000e+004, +2.76371628361e+005, +2.74670937300e+005, +7.45878413739e+001, +7.40699769820e+001
+3.27654847500e+004, +2.78756126604e+005, +2.77019320273e+005, +7.46648239715e+001, +7.41631563363e+001
+3.27655035000e+004, +2.81228638800e+005, +2.79375065495e+005, +7.47651588833e+001, +7.42549636158e+001
+3.27655222500e+004, +2.83457527299e+005, +2.81738187570e+005, +7.48508172024e+001, +7.43454268320e+001
+3.27655410000e+004, +2.85885929048e+005, +2.84108701634e+005, +7.49480660289e+001, +7.44345732453e+001
+3.27655597500e+004, +2.88331362520e+005, +2.86486623342e+005, +7.50425726765e+001, +7.45224293897e+001
+3.27655785000e+004, +2.90772099046e+005, +2.88871968861e+005, +7.51140558240e+001, +7.46090210963e+001
+3.27655972500e+004, +2.92994382840e+005, +2.91264754854e+005, +7.51857386354e+001, +7.46943735160e+001
+3.27656160000e+004, +2.95459014736e+005, +2.93664998474e+005, +7.53044366956e+001, +7.47785111408e+001
+3.27656347500e+004, +2.97913734400e+005, +2.96072717352e+005, +7.53825264208e+001, +7.48614578255e+001
+3.27656535000e+004, +3.00350787905e+005, +2.98487929591e+005, +7.54718187532e+001, +7.49432368071e+001
+3.27656722500e+004, +3.02823088856e+005, +3.00910653754e+005, +7.55389501783e+001, +7.50238707248e+001
+3.27656910000e+004, +3.05304301597e+005, +3.03340908857e+005, +7.56208013262e+001, +7.51033816387e+001
+3.27657097500e+004, +3.07671636387e+005, +3.05778714363e+005, +7.56957717148e+001, +7.51817910473e+001
+3.27657285000e+004, +3.10238261960e+005, +3.08224090171e+005, +7.57914000298e+001, +7.52591199056e+001
+3.27657472500e+004, +3.12563030012e+005, +3.10677056611e+005, +7.58360619718e+001, +7.53353886411e+001
+3.27657660000e+004, +3.15063041224e+005, +3.13137634437e+005, +7.59541115607e+001, +7.54106171706e+001
+3.27657847500e+004, +3.17576832271e+005, +3.15605844820e+005, +7.60011692083e+001, +7.54848249154e+001
+3.27658035000e+004, +3.20127136528e+005, +3.18081709341e+005, +7.60872607958e+001, +7.55580308164e+001
+3.27658222500e+004, +3.22434365254e+005, +3.20565249985e+005, +7.61637834100e+001, +7.56302533486e+001
+3.27658410000e+004, +3.25017207194e+005, +3.23056489138e+005, +7.62376259926e+001, +7.57015105348e+001
+3.27658597500e+004, +3.27621656670e+005, +3.25555449578e+005, +7.62977673980e+001, +7.57718199595e+001
+3.27658785000e+004, +3.30033857716e+005, +3.28062154473e+005, +7.63780126207e+001, +7.58411987817e+001
+3.27658972500e+004, +3.32565341122e+005, +3.30576627370e+005, +7.64346355671e+001, +7.59096637474e+001
+3.27659160000e+004, +3.35088292938e+005, +3.33098892200e+005, +7.65169993989e+001, +7.59772312018e+001
+3.27659347500e+004, +3.37714861137e+005, +3.35628973263e+005, +7.65760474486e+001, +7.60439171007e+001
+3.27659535000e+004, +3.40368171969e+005, +3.38166895232e+005, +7.66454914563e+001, +7.61097370223e+001
+3.27659722500e+004, +3.42678110385e+005, +3.40712683146e+005, +7.66946284321e+001, +7.61747061779e+001
+3.27659910000e+004, +3.45361973511e+005, +3.43266362401e+005, +7.67713542332e+001, +7.62388394220e+001
+3.27660097500e+004, +3.47856145130e+005, +3.45827958757e+005, +7.68282367609e+001, +7.63021512634e+001
+3.27660285000e+004, +3.50608714780e+005, +3.48397498325e+005, +7.69083257644e+001, +7.63646558741e+001
+3.27660472500e+004, +3.53066900819e+005, +3.50975007568e+005, +7.69728451937e+001, +7.64263670994e+001
+3.27660660000e+004, +3.55669202330e+005, +3.53560513297e+005, +7.70320581609e+001, +7.64872984668e+001
+3.27660847500e+004, +3.58434701946e+005, +3.56154042667e+005, +7.71096651406e+001, +7.65474631952e+001
+3.27661035000e+004, +3.60974235595e+005, +3.58755623177e+005, +7.71627940591e+001, +7.66068742031e+001
+3.27661222500e+004, +3.63413142936e+005, +3.61365282664e+005, +7.72158175282e+001, +7.66655441173e+001
+3.27661410000e+004, +3.66281586485e+005, +3.63983049304e+005, +7.72857496943e+001, +7.67234852805e+001
+3.27661597500e+004, +3.68934260732e+005, +3.66608951604e+005, +7.73486960507e+001, +7.67807097595e+001
